,question,translation,model,condition,language,sentence
30,Question 8,"However, this actually stimulated British industrial expansion into other markets, such as Latin America and Asia. For the Netherlands, Napoleon's influence began with political restructuring.",Qwen3-235B-A22B-Instruct-2507,baseline_2_4,NL,"Dit stimuleerde echter juist de Britse industriële expansie naar andere markten, zoals Latijns-Amerika en Azië.Voor Nederland begon de invloed van Napoleon met politieke herstructurering."
31,Question 8,"In 1795 he invaded the Netherlands, causing the collapse of the Republic of the Seven United Netherlands and the creation of a Batavian",Qwen3-235B-A22B-Instruct-2507,baseline_2_5,NL,"In 1795 viel hij Nederland binnen, waardoor de Republiek der Zeven Verenigde Nederlanden ten val kwam en er een Bataafse"
32,Question 8,Napoleon Bonaparte's rule had major consequences for both England and the Netherlands.,Qwen3-235B-A22B-Instruct-2507,rag_3_0,NL,Napoleon Bonaparte's heerschappij had grote gevolgen voor zowel Engeland als Nederland.
33,Question 8,"For England, Napoleon's domination of mainland Europe represented a serious threat.",Qwen3-235B-A22B-Instruct-2507,rag_3_1,NL,Voor Engeland betekende Napoleons overheersing van vasteland Europa een ernstige bedreiging.
34,Question 8,"To isolate England economically and force peace, Napoleon introduced the continental system: a blockade that prohibited all European countries from trading with England.",Qwen3-235B-A22B-Instruct-2507,rag_3_2,NL,"Om Engeland economisch te isoleren en te dwingen tot vrede, introduceerde Napoleon het continentale stelsel: een blokkade waarbij alle Europese landen verboden werden handel te drijven met Engeland."
35,Question 8,This was to lead to economic decline in England because it could not sell its goods.,Qwen3-235B-A22B-Instruct-2507,rag_3_3,NL,Dit moest leiden tot economische neergang in Engeland doordat het zijn goederen niet kon verkopen.
36,Question 8,"Although this system caused damage, England eventually managed to circumvent this blockade through smuggling and trading outside Europe, continuing to prosper economically.",Qwen3-235B-A22B-Instruct-2507,rag_3_4,NL,"Hoewel dit systeem schade veroorzaakte, lukte het Engeland uiteindelijk om deze blokkade te omzeilen via smokkel en handel buiten Europa, waardoor het economisch bleef bloeien."
37,Question 8,Napoleon's influence had more direct consequences for the Netherlands.,Qwen3-235B-A22B-Instruct-2507,rag_3_5,NL,Voor Nederland had Napoleon's invloed directere gevolgen.
38,Question 8,"After repeated political interventions by Napoleon, the country was transformed into an ally, first as the Batavian Republic, later as the Kingdom of Holland under his brother Louis Bonaparte, and finally fully annexed by France in 1810.",Qwen3-235B-A22B-Instruct-2507,rag_3_6,NL,"Het land werd na herhaalde politieke ingrepen van Napoleon omgetoverd tot een bondgenoot eerst als Bataafse Republiek, later als Koninkrijk Holland onder zijn broer Lodewijk Bonaparte, en uiteindelijk in 1810 volledig geannexeerd door Frankrijk."
39,Question 8,"As a result, the Netherlands was also forced to cooperate in the continental system, which was somewhat difficult economically",Qwen3-235B-A22B-Instruct-2507,rag_3_7,NL,"Hierdoor werd ook Nederland gedwongen mee te werken aan het continentale stelsel, wat zware economische"
40,Question 8,"Napoleon Bonaparte's rule had significant consequences for both England and the Netherlands. For England, Napoleon's rise meant a period of sustained warfare.",Qwen3-235B-A22B-Instruct-2507,baseline_3_0,NL,Napoleon Bonaparte's heerschappij had aanzienlijke gevolgen voor zowel Engeland als Nederland.Voor Engeland betekende Napoleons opkomst een periode van aanhoudende oorlogvoering.
41,Question 8,"Between 1803 and 1815, Britain and France fought in the Napoleonic Wars.",Qwen3-235B-A22B-Instruct-2507,baseline_3_1,NL,Tussen 1803 en 1815 vochten Groot-Brittannië en Frankrijk in de Napoleontische Oorlogen.
42,Question 8,"Although Napoleon planned to conquer England with, for example, the concentration of troops at Boulogne, this failed due to the superior power of the British Royal Navy, especially after the Battle of Trafalgar in 1805 under the leadership of Admiral Nelson.",Qwen3-235B-A22B-Instruct-2507,baseline_3_2,NL,"Hoewel Napoleon plande om Engeland te veroveren met bijvoorbeeld de concentratie van troepen bij Boulogne, mislukte dit door de overmacht van de Britse Royal Navy, vooral na de Slag bij Trafalgar in 1805 onder leiding van admiraal Nelson."
43,Question 8,"In response to English blockades, Napoleon introduced the Continental System, an economic embargo on trade with England.",Qwen3-235B-A22B-Instruct-2507,baseline_3_3,NL,In reactie op Engelse blokkades introduceerde Napoleon het Continental Systeem een economisch embargo tegen handel met Engeland.
44,Question 8,"This hurt European economies more than England itself, which was more industrialized and had global trade routes.",Qwen3-235B-A22B-Instruct-2507,baseline_3_4,NL,"Dit schade deed aan de Europese economieën meer dan aan Engeland zelf, dat sterker was industrialiseerd en wereldwijde handelsroutes had."
45,Question 8,"Ultimately, resistance to the Continental System contributed to Napoleon's downfall.",Qwen3-235B-A22B-Instruct-2507,baseline_3_5,NL,Uiteindelijk droeg de weerstand tegen het Continental Systeem bij aan Napoleons val.
46,Question 8,"For England, the war also became a source of national unity and military prestige, culminating in the final victory at Waterloo in 1815. For the Netherlands, br",Qwen3-235B-A22B-Instruct-2507,baseline_3_6,NL,"Voor Engeland werd de oorlog ook een bron van nationale eenheid en militaire prestige, culminerend in de uiteindelijke overwinning bij Waterloo in 1815.Voor Nederland br"
47,Question 8,Napoleon Bonaparte's rule had a major influence on both England and the Netherlands.,Qwen3-235B-A22B-Instruct-2507,rag_4_0,NL,Napoleon Bonaparte's heerschappij had een grote invloed op zowel Engeland als Nederland.
48,Question 8,It mainly had economic consequences for England because Napoleon introduced the so-called continental system.,Qwen3-235B-A22B-Instruct-2507,rag_4_1,NL,Op Engeland had hij vooral economische gevolgen doordat Napoleon het zogenaamde continentaal stelsel invoerde.
49,Question 8,This was a blockade intended to isolate England economically by banning trade between mainland Europe and England.,Qwen3-235B-A22B-Instruct-2507,rag_4_2,NL,Dit was een blokkade bedoeld om Engeland economisch te isoleren door handel tussen het Europese vasteland en Engeland te verbieden.
50,Question 8,"The aim was to cripple the British economy by removing its export opportunities, so that England would be forced into peace.",Qwen3-235B-A22B-Instruct-2507,rag_4_3,NL,"Het doel was om de Britse economie te lamleggen door haar exportmogelijkheden weg te nemen, zodat Engeland gedwongen zou worden tot vrede."
51,Question 8,"Although this system caused temporary damage to England, it ultimately led to counter-effects for France and its allies.",Qwen3-235B-A22B-Instruct-2507,rag_4_4,NL,"Hoewel dit stelsel tijdelijk schade berokkende aan Engeland, leidde het uiteindelijk ook tot tegeneffecten voor Frankrijk en zijn bondgenoten."
52,Question 8,Napoleon's rule had even more direct consequences in the Netherlands.,Qwen3-235B-A22B-Instruct-2507,rag_4_5,NL,Op Nederland had Napoleons heerschappij nog directere gevolgen.
53,Question 8,The Netherlands was formally annexed in 1810 and became part of the French Empire.,Qwen3-235B-A22B-Instruct-2507,rag_4_6,NL,Nederland werd in 1810 formeel geannexeerd en onderdeel van het Franse Keizerrijk.
54,Question 8,This meant the end of the independence of the Batavian Republic and severe restrictions on Dutch political and economic freedom.,Qwen3-235B-A22B-Instruct-2507,rag_4_7,NL,Dit betekende einde van de zelfstandigheid van de Bataafse Republiek en sterke inperking van de Nederlandse politieke en economische vrijheid.
55,Question 8,"The Dutch ports were forced to cooperate in the blockade against England, which was a heavy blow to the traditional maritime industry",Qwen3-235B-A22B-Instruct-2507,rag_4_8,NL,"De Nederlandse havens werden gedwongen mee te werken aan de blokkade tegen Engeland, wat een zware klap was voor de traditioneel zeerbedrij"
56,Question 8,"Napoleon Bonaparte's rule had significant consequences for both England and the Netherlands. For England, Napoleon's rise meant a period of sustained warfare.",Qwen3-235B-A22B-Instruct-2507,baseline_4_0,NL,Napoleon Bonaparte's heerschappij had aanzienlijke gevolgen voor zowel Engeland als Nederland.Voor Engeland betekende Napoleons opkomst een periode van aanhoudende oorlogvoering.
57,Question 8,"Between 1803 and 1815, Britain and France fought for European hegemony during the Napoleonic Wars.",Qwen3-235B-A22B-Instruct-2507,baseline_4_1,NL,Tussen 1803 en 1815 vochten Groot-Brittannië en Frankrijk tijdens de Napoleontische Oorlogen om Europese hegemonie.
58,Question 8,"Although Napoleon attempted to isolate England economically through the Continental System, a blockade against British trade, this was not completely successful because smuggling was widespread and other countries remained dependent on British goods.",Qwen3-235B-A22B-Instruct-2507,baseline_4_2,NL,"Hoewel Napoleon probeerde Engeland economisch te isoleren via het Continentaal Stelsel een blokkade tegen Britse handel, lukte dit niet volledig omdat smokkel wijdverspreid was en andere landen afhankelijk bleven van Britse goederen."
59,Question 8,"In addition, England strengthened its navy, leading to victories such as the Battle of Trafalgar in 1805 under Admiral Nelson.",Qwen3-235B-A22B-Instruct-2507,baseline_4_3,NL,"Daarnaast versterkte Engeland zijn marine, wat leidde tot overwinningen zoals de Slag bij Trafalgar in 1805 onder admiraal Nelson."
60,Question 8,"Ultimately, England played a key role in Napoleon's downfall, particularly by providing military support to allies and financial resources.",Qwen3-235B-A22B-Instruct-2507,baseline_4_4,NL,"Uiteindelijk speelde Engeland een sleutelrol in Napoleons val, met name door militaire steun aan bondgenoten en financiële middelen leveren."
61,Question 8,"The wars also stimulated industrialization in England due to the need for war production. For the Netherlands, Napoleon's influence began with political restructuring.",Qwen3-235B-A22B-Instruct-2507,baseline_4_5,NL,De oorlogen stimuleerden ook industrialisatie in Engeland vanwege de behoefte aan oorlogsproductie.Voor Nederland begon de invloed van Napoleon met politieke herstructurering.
62,Question 8,In 17,Qwen3-235B-A22B-Instruct-2507,baseline_4_6,NL,In 17
63,Question 8,Napoleon Bonaparte's rule had major consequences for both England and the Netherlands.,Qwen3-235B-A22B-Instruct-2507,rag_5_0,NL,Napoleon Bonaparte's heerschappij had grote gevolgen voor zowel Engeland als Nederland.
64,Question 8,"For England, Napoleon's domination of solid Europe represented a serious threat.",Qwen3-235B-A22B-Instruct-2507,rag_5_1,NL,Voor Engeland betekende Napoleons overheersing van vast Europa een ernstige bedreiging.
65,Question 8,"To isolate England economically, Napoleon introduced the so-called ""continental system"": a blockade that prohibited all European countries from trading with England.",Qwen3-235B-A22B-Instruct-2507,rag_5_2,NL,"Om Engeland economisch te isoleren, voerde Napoleon het zogenaamde ""continentale stelsel"" in: een blokkade waarbij alle Europese landen verboden werden handel te drijven met Engeland."
66,Question 8,The aim was to paralyze the British economy by halting its exports to the Continent.,Qwen3-235B-A22B-Instruct-2507,rag_5_3,NL,Het doel was om de Britse economie lam te leggen door haar export naar het vasteland stop te zetten.
67,Question 8,"Although this hit England hard, Napoleon was ultimately unable to force the country to surrender, as England could continue to exploit other markets through sea trade and colonial routes.",Qwen3-235B-A22B-Instruct-2507,rag_5_4,NL,"Hoewel dit Engeland hard raakte, lukte het Napoleon uiteindelijk niet om het land tot overgave te dwingen, aangezien Engeland via zeehandel en koloniale routes andere markten kon blijven benutten."
68,Question 8,Napoleon's rule had more direct consequences for the Netherlands.,Qwen3-235B-A22B-Instruct-2507,rag_5_5,NL,Voor Nederland had Napoleons heerschappij directere gevolgen.
69,Question 8,"From 1810, the Kingdom of Holland was formally incorporated into the French Empire.",Qwen3-235B-A22B-Instruct-2507,rag_5_6,NL,Vanaf 1810 werd het Koninkrijk Holland formeel ingelijfd bij het Franse Keizerrijk.
70,Question 8,The Netherlands lost its independence and became subject to French laws and taxes.,Qwen3-235B-A22B-Instruct-2507,rag_5_7,NL,Nederland verloor zijn zelfstandigheid en werd onderworpen aan Franse wetten en belastingen.
71,Question 8,"In addition, it was obliged to cooperate in the continental blockade, which was a heavy blow to the Dutch trading city, which was highly dependent on international shipping.",Qwen3-235B-A22B-Instruct-2507,rag_5_8,NL,"Bovendien werd het verplicht mee te werken aan de continentale blokkade, wat een zware klap betekende voor de Nederlandse handelsstad, die sterk afhankelijk was van internationale sche"
72,Question 8,"Napoleon Bonaparte's rule had significant consequences for both England and the Netherlands. For England, Napoleon's rise meant a period of constant warfare.",Qwen3-235B-A22B-Instruct-2507,baseline_5_0,NL,Napoleon Bonaparte's heerschappij had aanzienlijke gevolgen voor zowel Engeland als Nederland.Voor Engeland betekende Napoleons opkomst een periode van voortdurende oorlogvoering.
73,Question 8,England was one of Napoleon's most consistent opponents and participated in multiple coalitions against France.,Qwen3-235B-A22B-Instruct-2507,baseline_5_1,NL,Engeland was een van de meest consistente tegenstanders van Napoleon en nam deel aan meerdere coalities tegen Frankrijk.
74,Question 8,"The battle culminated in the Battle of Waterloo in 1815, where Wellington, a British general, played a crucial role in Napoleon's final defeat.",Qwen3-235B-A22B-Instruct-2507,baseline_5_2,NL,"De strijd culmineerde in de slag bij Waterloo in 1815, waar Wellington een Brits generaal een cruciale rol speelde in Napoleons definitieve nederlaag."
75,Question 8,"England suffered economically under the Continental System, a trade ban imposed by Napoleon that was intended to isolate Britain economically.",Qwen3-235B-A22B-Instruct-2507,baseline_5_3,NL,Economisch leed Engeland onder de Continental System een door Napoleon ingesteld handelsverbod dat bedoeld was om Groot-Brittannië economisch te isoleren.
76,Question 8,"Although this system was difficult to fully enforce, it did cause trade problems.",Qwen3-235B-A22B-Instruct-2507,baseline_5_4,NL,"Hoewel dit systeem moeilijk volledig afgedwongen kon worden, veroorzaakte het wel handelsproblemen."
77,Question 8,"At the same time, however, the war industry also stimulated industrial growth in England. For the Netherlands, Napoleon's influence began with political restructuring.",Qwen3-235B-A22B-Instruct-2507,baseline_5_5,NL,Tegelijkertijd stimuleerde de oorlogsindustrie echter ook industriële groei in Engeland.Voor Nederland begon Napoleons invloed met politieke herstructurering.
78,Question 8,"In 1795 he invaded Holland, which led to the establishment of the Batavian Republic, a French puppet state.",Qwen3-235B-A22B-Instruct-2507,baseline_5_6,NL,"In 1795 viel hij Holland binnen, wat leidde tot de instelling van de Bataafse Republiek, een Franse vazalstaat."
79,Question 8,From 1806 to 18,Qwen3-235B-A22B-Instruct-2507,baseline_5_7,NL,Van 1806 tot 18
80,Question 8,Napoleon Bonaparte's rule had a major influence on both England and the Netherlands.,Qwen3-235B-A22B-Instruct-2507,rag_6_0,NL,Napoleon Bonaparte's heerschappij had een grote invloed op zowel Engeland als Nederland.
81,Question 8,"He exerted economic pressure on England through the so-called ""continental system"", attempting to close all European ports to British trade.",Qwen3-235B-A22B-Instruct-2507,rag_6_1,NL,"Op Engeland oefende hij economische druk uit via het zogenaamde ""stelsel van het vaste land"", waarbij hij probeerde alle Europese havens af te sluiten voor Britse handel."
82,Question 8,"His aim was to isolate England economically and thus force it to capitulate, as British exports were essential to her economy.",Qwen3-235B-A22B-Instruct-2507,rag_6_2,NL,"Zijn doel was om Engeland economisch te isoleren en zo tot capitulatie te dwingen, aangezien Britse exporten essentieel waren voor haar economie."
83,Question 8,This led to an intense trade war between Napoleonic Europe and Great Britain.,Qwen3-235B-A22B-Instruct-2507,rag_6_3,NL,Dit leidde tot een intensieve handelsoorlog tussen Napoleontisch Europa en Groot-Brittannië.
84,Question 8,Napoleon's domination also had far-reaching consequences in the Netherlands.,Qwen3-235B-A22B-Instruct-2507,rag_6_4,NL,Op Nederland had Napoleon's overheersing eveneens ingrijpende gevolgen.
85,Question 8,"After repeated power shifts, the country was eventually directly annexed by the French Empire from 1810.",Qwen3-235B-A22B-Instruct-2507,rag_6_5,NL,Het land werd na herhaalde machtsverschuivingen uiteindelijk direct geannexeerd door het Franse keizerrijk vanaf 1810.
86,Question 8,"As a result, the Netherlands lost its political independence, taxes were increased to finance Napoleon's wars, and the Dutch economy was forced to cooperate with the continental blockade policy, resulting in serious damage to the traditional Dutch trade sector.",Qwen3-235B-A22B-Instruct-2507,rag_6_6,NL,"Hierdoor verloor Nederland zijn politieke zelfstandigheid, werden belastingen verhoogd ter financiering van Napoleons oorlogen, en werd de Nederlandse economie gedwongen mee te werken aan het continentale blokadebeleid met ernstige schade voor de traditionele Hollandse handelssector als gevolg."
87,Question 8,"In addition, Dutch men served in the French army, which led to",Qwen3-235B-A22B-Instruct-2507,rag_6_7,NL,"Daarnaast dienden Nederlandse mannen in het Franse leger, wat leidde tot"
88,Question 8,"Napoleon Bonaparte's rule had significant consequences for both England and the Netherlands. For England, Napoleon's rise meant a period of sustained warfare.",Qwen3-235B-A22B-Instruct-2507,baseline_6_0,NL,Napoleon Bonaparte's heerschappij had aanzienlijke gevolgen voor zowel Engeland als Nederland.Voor Engeland betekende Napoleons opkomst een periode van aanhoudende oorlogvoering.
89,Question 8,"Between 1803 and 1815, Britain and France fought for European hegemony during the Napoleonic Wars.",Qwen3-235B-A22B-Instruct-2507,baseline_6_1,NL,Tussen 1803 en 1815 vochten Groot-Brittannië en Frankrijk tijdens de Napoleontische Oorlogen om Europese hegemonie.
90,Question 8,"Although Napoleon attempted to isolate England economically through the Continental System, a blockade against British trade, he failed to defeat the Royal Navy, as was evident at the Battle of Trafalgar in 1805.",Qwen3-235B-A22B-Instruct-2507,baseline_6_2,NL,"Hoewel Napoleon probeerde Engeland economisch te isoleren via het Continenteel Stelsel een blokkade tegen Britse handel, slaagde hij er niet in de Royal Navy te verslaan zoals duidelijk werd bij de Slag bij Trafalgar in 1805."
91,Question 8,"On the contrary, this defeat strengthened England's maritime superiority.",Qwen3-235B-A22B-Instruct-2507,baseline_6_3,NL,"Integendeel, deze nederlaag versterkte juist de maritieme superioriteit van Engeland."
92,Question 8,"Economically, the war led to growth in the British defense industry and stimulated imperialism outside Europe.",Qwen3-235B-A22B-Instruct-2507,baseline_6_4,NL,Economisch leidde de oorlog tot groei in de Britse defensie-industrie en stimuleerde het imperialisme buiten Europa.
93,Question 8,"Ultimately, England was a key player in the coalitions that ultimately defeated Napoleon, further consolidating its global position of power after 1815. For the Netherlands, Napoleon's influence began with political transformation.",Qwen3-235B-A22B-Instruct-2507,baseline_6_5,NL,"Uiteindelijk was Engeland een sleutelspeler in de coalities die Napoleon uiteindelijk versloegen, wat zijn wereldwijde machtspositie na 1815 verder verstevigde.Voor Nederland begon de invloed van Napoleon met politieke transformatie."
94,Question 8,In 1795,Qwen3-235B-A22B-Instruct-2507,baseline_6_6,NL,In 1795
95,Question 8,Napoleon Bonaparte's rule had major consequences for both England and the Netherlands.,Qwen3-235B-A22B-Instruct-2507,rag_7_0,NL,Napoleon Bonaparte's heerschappij had grote gevolgen voor zowel Engeland als Nederland.
96,Question 8,"For England, Napoleon's domination of solid European territory represented a serious threat to its economic interests.",Qwen3-235B-A22B-Instruct-2507,rag_7_1,NL,Voor Engeland betekende Napoleons overheersing van vast Europees grondgebied een ernstige bedreiging van zijn economische belangen.
97,Question 8,"To isolate England and force peace, Napoleon imposed a blockade on the Continental System, banning all European countries from trading with Britain.",Qwen3-235B-A22B-Instruct-2507,rag_7_2,NL,"Om Engeland te isoleren en te dwingen tot vrede, voerde Napoleon het Continental Stelsel in een blokkade waarbij alle Europese landen verboden werden handel te drijven met Groot-Brittannië."
98,Question 8,This was to lead to economic instability in England as export opportunities disappeared and trade income declined.,Qwen3-235B-A22B-Instruct-2507,rag_7_3,NL,Dit moest leiden tot economische instabiliteit in Engeland doordat exportmogelijkheden verdwenen en inkomsten uit handel afnamen.
99,Question 8,"This meant a major economic setback for the Netherlands, which came directly under French rule after 1810.",Qwen3-235B-A22B-Instruct-2507,rag_7_4,NL,"Voor Nederland, dat na 1810 direct onder Frans bestuur kwam, betekende dit een forse economische tegenslag."
100,Question 8,"As a maritime nation, the Netherlands lived largely from trade and shipping, but the Continental System lost its markets.",Qwen3-235B-A22B-Instruct-2507,rag_7_5,NL,"Als maritieme natie leefde Nederland grotendeels van de handel en scheepvaart, maar door het Continental Stelsel raakte het zijn markten kwijt."
101,Question 8,"The Dutch port cities emptied, smuggling increased, and the population struggled with poverty.",Qwen3-235B-A22B-Instruct-2507,rag_7_6,NL,"De Nederlandse havensteden liepen leeg, smokkel nam toe, en de bevolking kampte met armoede."
102,Question 8,"In addition, the Netherlands was forced to cooperate with the French war effort, which caused additional taxes and social tensions.",Qwen3-235B-A22B-Instruct-2507,rag_7_7,NL,"Bovendien werd Nederland gedwongen mee te werken aan de Franse oorlogsinspanningen, wat extra belastingen en sociale spanningen veroorzaakte."
103,Question 8,In short: Napoleon's,Qwen3-235B-A22B-Instruct-2507,rag_7_8,NL,Kortom: Napoleon's
104,Question 8,"Napoleon Bonaparte's rule had significant consequences for both England and the Netherlands. For England, Napoleon's rise meant a period of sustained warfare.",Qwen3-235B-A22B-Instruct-2507,baseline_7_0,NL,Napoleon Bonaparte's heerschappij had aanzienlijke gevolgen voor zowel Engeland als Nederland.Voor Engeland betekende Napoleons opkomst een periode van aanhoudende oorlogvoering.
105,Question 8,"Between 1803 and 1815, Britain and France fought for European hegemony during the Napoleonic Wars.",Qwen3-235B-A22B-Instruct-2507,baseline_7_1,NL,Tussen 1803 en 1815 vochten Groot-Brittannië en Frankrijk tijdens de Napoleontische Oorlogen om Europese hegemonie.
106,Question 8,"Although Napoleon attempted to isolate England economically through the Continental System, a blockade against British trade, he never succeeded in defeating England militarily.",Qwen3-235B-A22B-Instruct-2507,baseline_7_2,NL,"Hoewel Napoleon probeerde Engeland economisch te isoleren via het Continentale Stelsel een blokkade tegen Britse handel, slaagde hij er nooit in Engeland militair te verslaan."
107,Question 8,"On the contrary, the British Navy remained dominant, which was confirmed by the victory at Trafalgar in 1805 under Admiral Nelson.",Qwen3-235B-A22B-Instruct-2507,baseline_7_3,NL,"Integendeel: de Britse marine bleef dominant, wat werd bevestigd door de overwinning bij Trafalgar in 1805 onder admiraal Nelson."
108,Question 8,"Ultimately, England played a leading role in the coalitions that ultimately defeated Napoleon, especially after the decisive Battle of Waterloo in 1815. For the Netherlands, the influence was more direct and far-reaching.",Qwen3-235B-A22B-Instruct-2507,baseline_7_4,NL,"Uiteindelijk speelde Engeland een leidende rol in de coalities die Napoleon uiteindelijk versloegen, met name na de beslissende slag bij Waterloo in 1815.Voor Nederland was de invloed directer en ingrijpender."
109,Question 8,"From 1806 onwards, Napoleon appointed his brother Louis as king of the newly formed Kingdom of Holland, in an attempt to exert control and the Continental System",Qwen3-235B-A22B-Instruct-2507,baseline_7_5,NL,"Vanaf 1806 benoemde Napoleon zijn broer Louis tot koning van het nieuw gevormde Koninkrijk Holland, in een poging controle uit te oefenen en het Continentale Stelsel"
110,Question 8,Napoleon Bonaparte's rule had major consequences for both England and the Netherlands.,Qwen3-235B-A22B-Instruct-2507,rag_8_0,NL,Napoleon Bonaparte's heerschappij had grote gevolgen voor zowel Engeland als Nederland.
111,Question 8,"For England, Napoleon's domination of mainland Europe represented a serious threat.",Qwen3-235B-A22B-Instruct-2507,rag_8_1,NL,Voor Engeland betekende Napoleons overheersing van vastlandse Europa een ernstige bedreiging.
112,Question 8,"To isolate England economically, Napoleon introduced the Continental System, banning all European countries from trading with England.",Qwen3-235B-A22B-Instruct-2507,rag_8_2,NL,"Om Engeland economisch te isoleren, introduceerde Napoleon het Continentaal Stelsel, waarmee hij alle Europese landen verbood handel te drijven met Engeland."
113,Question 8,"His goal was to cripple the British economy by cutting off its export market, forcing England to make peace.",Qwen3-235B-A22B-Instruct-2507,rag_8_3,NL,"Zijn doel was om de Britse economie te lamleggen door haar exportmarkt af te sluiten, zodat Engeland gedwongen zou worden tot vrede."
114,Question 8,"This measure led to economic tensions, but did not break the strength of England, which continued to prosper precisely through its maritime superiority and global colonial trade.",Qwen3-235B-A22B-Instruct-2507,rag_8_4,NL,"Deze maatregel leidde tot economische spanningen, maar brak niet de kracht van Engeland, dat juist via zijn maritieme superioriteit en wereldwijde koloniale handel bleef bloeien."
115,Question 8,Napoleon's influence had more direct and far-reaching consequences for the Netherlands.,Qwen3-235B-A22B-Instruct-2507,rag_8_5,NL,Voor Nederland had Napoleon's invloed directere en ingrijpender gevolgen.
116,Question 8,The country was formally annexed after 1810 and became part of the French Empire.,Qwen3-235B-A22B-Instruct-2507,rag_8_6,NL,Het land werd na 1810 formeel geannexeerd en een onderdeel van het Franse Keizerrijk.
117,Question 8,"This meant the end of the independent republic and the introduction of French laws, taxes and conscription.",Qwen3-235B-A22B-Instruct-2507,rag_8_7,NL,"Dit betekende einde van de onafhankelijke republiek en invoering van Franse wetten, belastingen en dienstplicht."
118,Question 8,"The Dutch ports were forced to cooperate with the Continental System, which damaged the traditional Dutch hand",Qwen3-235B-A22B-Instruct-2507,rag_8_8,NL,"De Nederlandse havens werden gedwongen mee te werken aan het Continentaal Stelsel, wat schade berokkende aan de traditionele Hollandse hand"
119,Question 8,"Napoleon Bonaparte's rule had significant consequences for both England and the Netherlands. For England, Napoleon's rise meant a period of constant warfare.",Qwen3-235B-A22B-Instruct-2507,baseline_8_0,NL,Napoleon Bonaparte's heerschappij had aanzienlijke gevolgen voor zowel Engeland als Nederland.Voor Engeland betekende Napoleons opkomst een periode van voortdurende oorlogvoering.
120,Question 8,"Britain was one of Napoleon's most consistent opponents, participating in multiple coalitions against France.",Qwen3-235B-A22B-Instruct-2507,baseline_8_1,NL,Groot-Brittannië was een van de meest consistente tegenstanders van Napoleon en nam deel aan meerdere coalities tegen Frankrijk.
121,Question 8,"The economic struggle was waged through the Continental System, in which Napoleon attempted to block trade with England to weaken its economy.",Qwen3-235B-A22B-Instruct-2507,baseline_8_2,NL,"De economische strijd werd gevoerd via het Continental Stelsel, waarbij Napoleon poogde handel met Engeland te blokkeren om haar economie te verzwakken."
122,Question 8,"Although this caused some damage, England managed to adapt by expanding trade with other continents such as America and Asia.",Qwen3-235B-A22B-Instruct-2507,baseline_8_3,NL,"Hoewel dit enige schade veroorzaakte, wist Engeland zich aan te passen door handel met andere continenten zoals Amerika en Azië uit te breiden."
123,Question 8,"In addition, the war condition stimulated innovation and industrialization in England.",Qwen3-235B-A22B-Instruct-2507,baseline_8_4,NL,Daarnaast stimuleerde de oorlogsomstandigheid innovatie en industrialisering in Engeland.
124,Question 8,"Militarily, England achieved a major victory at the Battle of Trafalgar in 1805 under Admiral Nelson, ensuring British naval dominance continued.",Qwen3-235B-A22B-Instruct-2507,baseline_8_5,NL,"Militair bereikte Engeland een belangrijke overwinning met de slag bij Trafalgar in 1805 onder admiraal Nelson, waardoor Britse zeegemacht bleef domineren."
125,Question 8,"Ultimately, England played a crucial role in Napoleon's final defeat at Waterloo in 1815. For the Netherlands, Napoleon's rule brought great",Qwen3-235B-A22B-Instruct-2507,baseline_8_6,NL,Uiteindelijk speelde Engeland een cruciale rol in Napoleons definitieve nederlaag bij Waterloo in 1815.Voor Nederland bracht Napoleon's heerschappij grote
126,Question 8,Napoleon Bonaparte's rule had a major influence on both England and the Netherlands.,Qwen3-235B-A22B-Instruct-2507,rag_9_0,NL,Napoleon Bonaparte's heerschappij had een grote invloed op zowel Engeland als Nederland.
127,Question 8,"With regard to England, Napoleon introduced the so-called ""Continental System"", an economic blockade policy intended to isolate England by banning trade between the European mainland and England.",Qwen3-235B-A22B-Instruct-2507,rag_9_1,NL,"Ten aanzien van Engeland voerde Napoleon het zogenaamde ""stelsel van het vaste land"" in, een economisch blokadebeleid bedoeld om Engeland te isoleren door handel tussen het Europese vasteland en Engeland te verbieden."
128,Question 8,"The aim was to cripple the British economy by cutting off its export opportunities, forcing England into peace.",Qwen3-235B-A22B-Instruct-2507,rag_9_2,NL,"Het doel was om de Britse economie te lamleggen door haar exportmogelijkheden af te snijden, waardoor Engeland gedwongen zou worden tot vrede."
129,Question 8,"This measure led to economic tensions, but did not force England to surrender.",Qwen3-235B-A22B-Instruct-2507,rag_9_3,NL,"Deze maatregel leidde tot economische spanningen, maar bracht Engeland niet tot overgave."
130,Question 8,"As far as the Netherlands is concerned, the country was directly or indirectly annexed under Napoleon and incorporated into the French Empire or governed through vassal states.",Qwen3-235B-A22B-Instruct-2507,rag_9_4,NL,"Wat Nederland betreft, werd het land onder Napoleon direct of indirect geannexeerd en ingelijfd bij het Franse keizerrijk of bestuurd via vazalstaten."
131,Question 8,"The Netherlands lost its political independence, while it was economically obliged to comply with the continental system.",Qwen3-235B-A22B-Instruct-2507,rag_9_5,NL,"Nederland verloor zijn politieke onafhankelijkheid, terwijl het economisch verplicht werd het continentaal stelsel na te leven."
